"code","lambdaZ_hat_T","lambdaZ_lo_T","lambdaZ_hi_T"
395,0.00178607744010984,0.000911615333378174,0.0094669717934466
396,0.00192311593847267,0.000906214593019435,0.0106626677272412
397,0.00187133467227877,0.000899661357117707,0.0101819528761156
398,0.00182369525513478,0.000918440782682366,0.0110163312135743
399,0.00176341061583866,0.00091978254272103,0.0095803831826607
400,0.00225042683685342,0.000902020942852886,0.00993153538890892
401,0.00212776302233063,0.000904917060120313,0.0104529885298559
402,0.00210787756653925,0.000908558088396322,0.0104474026519851
403,0.00200175824773014,0.000914705821947893,0.0103126679928876
404,0.00210910120671747,0.000910996522368459,0.0106705358871406
405,0.00203012423538262,0.000905399476646699,0.00997836957050732
406,0.0020166382320021,0.000918255872575176,0.0101452121697827
407,0.00194257899707215,0.000920194622396665,0.0103126322186846
408,0.00215446557672304,0.000906452213702069,0.0109174047690804
409,0.00205486125882927,0.000910648494355753,0.0103591916428182
410,0.00206389965321127,0.000909589136261479,0.00987518547176616
411,0.00196090959087426,0.00090803296513179,0.0102618938366339
412,0.00205405150640259,0.000913358988135522,0.0113291332039005
413,0.0019848470957815,0.000913170063145852,0.0102512713914761
414,0.00199255594124432,0.000924958552224591,0.0105893095352084
415,0.00191410883831283,0.000922349327078977,0.00977441339724411
416,0.0019300028873216,0.000907795883222282,0.0110532650136083
417,0.00185069009639525,0.000907789028891662,0.0104085413487224
418,0.00181254635808957,0.000907778305186728,0.0105510998184596
419,0.00174435447045707,0.000915378644437831,0.0114994120028299
420,0.00186660894713345,0.000910279614187125,0.00981522454254366
421,0.0018180984035078,0.000915501649462896,0.0109809821669681
422,0.00177862717846146,0.000919816309637856,0.00999196666524286
423,0.00173168896304064,0.000921427026952724,0.0102683750619863
424,0.00187245489181424,0.000902728368630304,0.010077814075421
425,0.00181476889965841,0.000908102296144671,0.0108446358787079
426,0.00178420098294608,0.000911636659253467,0.0116228702954791
427,0.00172473586969441,0.000913889215173489,0.0104160396232727
428,0.00183187302142443,0.000912936300178306,0.0106095359017451
429,0.00179401552522474,0.000902046708637223,0.0102950501607046
430,0.00176086443515019,0.00092305689534354,0.00998769579860664
431,0.00171532229538629,0.000923906234164693,0.00987738880392641
432,0.00211424963795937,0.000902716102912892,0.0102783900875641
433,0.0020270263748085,0.000906408285313203,0.0117422954253383
434,0.0020126287799059,0.000907001956394178,0.0112898051536235
435,0.00193522667682794,0.000906460692285507,0.010548867483036
436,0.00202023638286863,0.000922916907947742,0.00995675999817262
437,0.00197081299222579,0.000912749474739077,0.0100861986369122
438,0.00195913011054091,0.000921948751561667,0.00994498206237317
439,0.00190853812481171,0.000917445607324842,0.00993868626890353
440,0.00204022349527246,0.000901919592828096,0.011270650794439
441,0.00197329208545685,0.000903066425126181,0.0108127861525072
442,0.00198282080911182,0.000910520482809721,0.0103867475629571
443,0.00190873389602453,0.000904872736450462,0.0100854676216656
444,0.00197205851927776,0.000908149780575847,0.0115019559290521
445,0.00192818077921577,0.000905621098518281,0.0105505299350183
446,0.00194142694909688,0.00092001126319251,0.0100087338823901
447,0.00188502233744829,0.000920936505595007,0.00994148554667875
448,0.00194432215754759,0.000892723645457417,0.0108304335556551
449,0.00188952470411329,0.000894664491345111,0.0108949934566903
450,0.00181755403096974,0.000914618582225992,0.0105616687582076
451,0.00177174696038455,0.000914990554557573,0.0121571375410629
452,0.00187413442485069,0.000904774366310974,0.0106904437863635
453,0.00183767678868612,0.000896392331546084,0.0109659592210661
454,0.00178045882868068,0.000927475991395078,0.0110904113190168
455,0.00174648069450858,0.00092286286476076,0.011122659959428
456,0.00186503215836707,0.000903458401514896,0.0104295662004548
457,0.00183502606038309,0.000904855885300442,0.0115498731073424
458,0.00176015563458838,0.000913185544787789,0.0121781258080505
459,0.00172636230732184,0.000907616166503803,0.0111504254753661
460,0.00181814288999058,0.000904735693016573,0.0107612522238539
461,0.00179998465033303,0.000909636825160093,0.00994087221114355
462,0.00173256829057681,0.000915594553957777,0.0106501803163424
