"x","loc_int","code","mu"
1,51,307,0.000946352121708208
2,51,563,0.000953718302377577
3,51,819,0.000936544197082756
0,52,52,0.00105441596195669
1,52,308,0.00105113546441459
2,52,564,0.00105970837018463
3,52,820,0.00105210961975497
0,53,53,0.001029000840447
1,53,309,0.00102482580861568
2,53,565,0.00104428450996252
3,53,821,0.00103593726702468
0,54,54,0.00105005088962571
1,54,310,0.00104711292260821
2,54,566,0.0010564020172186
3,54,822,0.00104617131421786
0,55,55,0.00101805333535306
1,55,311,0.00101359260934725
2,55,567,0.00102886932913216
3,55,823,0.00101797983398211
0,56,56,0.000947952672984575
1,56,312,0.000932584373145158
2,56,568,0.000943770704193799
3,56,824,0.000927446030634716
0,57,57,0.000934514864045841
1,57,313,0.000916212301200976
2,57,569,0.00093827632930462
3,57,825,0.000919300338257473
0,58,58,0.000945539754187983
1,58,314,0.000932607596466666
2,58,570,0.00094020393090756
3,58,826,0.000923486073670888
0,59,59,0.000926467571884497
1,59,315,0.000908056669870221
2,59,571,0.000925829981220892
3,59,827,0.000904347232024909
0,60,60,0.00101832954317702
1,60,316,0.00100937513968083
2,60,572,0.00103103823621005
3,60,828,0.00101803305830765
0,61,61,0.00100417738802442
1,61,317,0.000995769019248733
2,61,573,0.001027788598317
3,61,829,0.00101513425817277
0,62,62,0.00101278392305218
1,62,318,0.00100647492134406
2,62,574,0.00102683254389061
3,62,830,0.00101360717751454
0,63,63,0.000993185299612541
1,63,319,0.000984211701735652
2,63,575,0.00101316662338198
3,63,831,0.000997701923417094
0,64,64,0.000952933798749219
1,64,320,0.000936973166008614
2,64,576,0.000946714166180323
3,64,832,0.000927154446941336
0,65,65,0.000945920349289312
1,65,321,0.000928959588587375
2,65,577,0.000949118770427951
3,65,833,0.000928659729882561
0,66,66,0.000966116422942873
1,66,322,0.00094616082508342
2,66,578,0.000954096579157911
3,66,834,0.00092857170707891
0,67,67,0.000956546944016028
1,67,323,0.000936670400827848
2,67,579,0.000949616352945333
3,67,835,0.000925000183686797
0,68,68,0.00100277997530459
1,68,324,0.000993379318502465
2,68,580,0.00100926731947437
3,68,836,0.000993707584953936
0,69,69,0.000993512753648818
1,69,325,0.000983869337303808
2,69,581,0.0010094436301196
3,69,837,0.000994365799811452
0,70,70,0.00101665702796257
1,70,326,0.00100237880695041
2,70,582,0.00102139355351866
3,70,838,0.000999234572582711
0,71,71,0.00100625875156578
1,71,327,0.000992895246398178
2,71,583,0.00101511336367044
3,71,839,0.000995638494295053
0,72,72,0.000908941007366487
1,72,328,0.000886213923926565
2,72,584,0.000903012041164912
3,72,840,0.000877190486788571
0,73,73,0.000907911570561036
1,73,329,0.000883603971476089
2,73,585,0.000911432161690288
3,73,841,0.000883673119878817
0,74,74,0.000917573697943855
1,74,330,0.00089249646598403
2,74,586,0.000907945862448362
3,74,842,0.000878024048220762
0,75,75,0.000914139413776872
1,75,331,0.000886840610156478
2,75,587,0.00091049833878839
3,75,843,0.000878560146076441
0,76,76,0.000965620628832538
1,76,332,0.000948883483515388
2,76,588,0.000976542286581286
3,76,844,0.000953283945671419
0,77,77,0.000963058588048139
1,77,333,0.000945675886570289
2,77,589,0.000984100860724422
3,77,845,0.00096024571722917
0,78,78,0.000974949115921243
1,78,334,0.000955668257555129
2,78,590,0.000984530940254412
3,78,846,0.000956835207199945
0,79,79,0.000969926519791755
1,79,335,0.000949308274344645
2,79,591,0.00098530873914518
3,79,847,0.000957210327394887
0,80,80,0.000963048882406546
1,80,336,0.000960001278182601
2,80,592,0.00095450371005786
3,80,848,0.000946927593711819
0,81,81,0.00095355454244686
1,81,337,0.000946723985980091
2,81,593,0.000953861446983144
3,81,849,0.000943025674541219
0,82,82,0.000960075788043983
1,82,338,0.00095335491792186
2,82,594,0.00094503525652929
3,82,850,0.000932178841989011
0,83,83,0.000946846105573493
1,83,339,0.000937590639148732
2,83,595,0.000937490769658508
3,83,851,0.000923039075076858
0,84,84,0.00101467028696787
1,84,340,0.00101654432089337
2,84,596,0.00102003116835285
3,84,852,0.00101512750739382
0,85,85,0.00100036769425235
1,85,341,0.00100030130045706
